2020-04-28 14:04:863 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-28 14:04:395 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-28 14:04:179 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (6a0f6493731cbd92e7421282055e2bbf)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 14:04:279 INFO  ComputerPage :31 - Getting computer text message [[ChromeDriver: chrome on WINDOWS (6a0f6493731cbd92e7421282055e2bbf)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 14:04:146 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-28 14:04:543 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (4b43c13053bd9067a802f4af5e975c31)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 14:04:872 INFO  ComputerPage :31 - Getting computer text message [[ChromeDriver: chrome on WINDOWS (4b43c13053bd9067a802f4af5e975c31)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 14:04:258 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-28 14:04:727 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (bd32ad3c799cbe6702629cc987112c0c)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 14:04:823 INFO  ComputerPage :31 - Getting computer text message [[ChromeDriver: chrome on WINDOWS (bd32ad3c799cbe6702629cc987112c0c)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 14:04:318 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-28 14:04:760 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (b085349e98c8e1a003ddecfb3e7149e8)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 14:04:869 INFO  ComputerPage :31 - Getting computer text message [[ChromeDriver: chrome on WINDOWS (b085349e98c8e1a003ddecfb3e7149e8)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 15:04:512 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-28 15:04:697 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (cb20e5a09635148272d3a1f7e91ae0a1)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 15:04:733 INFO  ComputerPage :31 - Getting computer text message [[ChromeDriver: chrome on WINDOWS (cb20e5a09635148272d3a1f7e91ae0a1)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 15:04:167 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-28 15:04:59 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-28 15:04:54 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (68e8dca91135272b49ce08a0d694dfcc)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 15:04:166 INFO  ComputerPage :31 - Getting computer text message [[ChromeDriver: chrome on WINDOWS (68e8dca91135272b49ce08a0d694dfcc)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 15:04:167 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-28 15:04:894 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (e8e34a76635364e62675973ac589af8c)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 15:04:938 INFO  ComputerPage :31 - Getting computer text message [[ChromeDriver: chrome on WINDOWS (e8e34a76635364e62675973ac589af8c)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 15:04:852 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-28 15:04:374 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (077f848b60a227461040c4ade9b4ae0b)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 15:04:467 INFO  ComputerPage :31 - Getting computer text message [[ChromeDriver: chrome on WINDOWS (077f848b60a227461040c4ade9b4ae0b)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 15:04:942 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-28 15:04:922 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-28 15:04:866 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (810690095834bb56ee402fd30ef11ccf)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 15:04:967 INFO  ComputerPage :31 - Getting computer text message [[ChromeDriver: chrome on WINDOWS (810690095834bb56ee402fd30ef11ccf)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 15:04:467 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-28 15:04:180 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-28 15:04:897 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (1a0977ee788fa576391d86b16bc862a6)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 15:04:993 INFO  ComputerPage :31 - Getting computer text message [[ChromeDriver: chrome on WINDOWS (1a0977ee788fa576391d86b16bc862a6)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 15:04:20 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-28 15:04:769 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-28 15:04:26 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (62c8db8bce5353c23c1778141b136739)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 15:04:280 INFO  DesktopPage :26 - Clicking on Desktop button Proxy element for: DefaultElementLocator 'By.xpath: //h2[@class='title']//a[contains(text(),'Desktops')]'
2020-04-28 15:04:786 INFO  DesktopPage :32 - Clicking on position [[ChromeDriver: chrome on WINDOWS (62c8db8bce5353c23c1778141b136739)] -> id: products-orderby]
2020-04-28 15:04:747 INFO  DesktopPage :38 - Clicking on A to Z [[ChromeDriver: chrome on WINDOWS (62c8db8bce5353c23c1778141b136739)] -> xpath: //option[contains(text(),'Name: A to Z')]]
2020-04-28 15:04:905 INFO  ComputerPage :38 - Clicking on build computer Proxy element for: DefaultElementLocator 'By.linkText: Build your own computer'
2020-04-28 15:04:154 INFO  ComputerPage :44 - Clicking on radio button feature [[ChromeDriver: chrome on WINDOWS (62c8db8bce5353c23c1778141b136739)] -> xpath: //input[@id='product_attribute_3_7']]
2020-04-28 15:04:330 INFO  ComputerPage :50 - Clicking on add cart button [[ChromeDriver: chrome on WINDOWS (62c8db8bce5353c23c1778141b136739)] -> id: add-to-cart-button-1]
2020-04-28 15:04:361 INFO  ComputerPage :55 - Getting add to cart message [[ChromeDriver: chrome on WINDOWS (62c8db8bce5353c23c1778141b136739)] -> class name: content]
2020-04-28 15:04:273 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-28 15:04:297 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (4aa1557ef8b43f6e137ff6d78171acba)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 15:04:449 INFO  DesktopPage :26 - Clicking on Desktop button [[ChromeDriver: chrome on WINDOWS (4aa1557ef8b43f6e137ff6d78171acba)] -> xpath: //h2[@class='title']//a[contains(text(),'Desktops')]]
2020-04-28 15:04:945 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-28 15:04:640 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (1e5cc0a76af759c06c3041fc611c8c8e)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 15:04:904 INFO  DesktopPage :26 - Clicking on Desktop button [[ChromeDriver: chrome on WINDOWS (1e5cc0a76af759c06c3041fc611c8c8e)] -> xpath: //h2[@class='title']//a[contains(text(),'Desktops')]]
2020-04-28 15:04:52 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-28 15:04:951 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (9316ea2e5710dc93eff330fc61942335)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 15:04:603 INFO  DesktopPage :26 - Clicking on Desktop button Proxy element for: DefaultElementLocator 'By.xpath: //h2[@class='title']//a[contains(text(),'Desktops')]'
2020-04-28 16:04:16 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-28 16:04:221 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (3a0616e3635e2e5a05a02d9c9dbed260)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 16:04:632 INFO  DesktopPage :26 - Clicking on Desktop button Proxy element for: DefaultElementLocator 'By.xpath: //h2[@class='title']//a[contains(text(),'Desktops')]'
2020-04-28 16:04:716 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-28 16:04:677 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (216f3d914bcb75e854fe1c56bca01dd3)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 16:04:798 INFO  DesktopPage :26 - Clicking on Desktop button [[ChromeDriver: chrome on WINDOWS (216f3d914bcb75e854fe1c56bca01dd3)] -> xpath: //h2[@class='title']//a[contains(text(),'Desktops')]]
2020-04-28 16:04:123 INFO  BrowserSelector :23 - Launching chrome browser
2020-04-28 16:04:683 INFO  HomePage :39 - Clicking on computer button [[ChromeDriver: chrome on WINDOWS (113303e758709c8cf537c0075b6f5a88)] -> xpath: //ul[@class='top-menu notmobile']//a[contains(text(),'Computers')]]
2020-04-28 16:04:323 INFO  DesktopPage :26 - Clicking on Desktop button Proxy element for: DefaultElementLocator 'By.cssSelector: div.master-wrapper-page:nth-child(6) div.master-wrapper-content div.master-column-wrapper div.center-2 div.page.category-page div.page-body div.category-grid.sub-category-grid div.item-grid div.item-box:nth-child(1) div.sub-category-item h2.title > a:nth-child(1)'
2020-04-28 16:04:531 INFO  DesktopPage :32 - Clicking on position [[ChromeDriver: chrome on WINDOWS (113303e758709c8cf537c0075b6f5a88)] -> xpath: //select[@id='products-orderby']]
2020-04-28 16:04:248 INFO  DesktopPage :38 - Clicking on A to Z [[ChromeDriver: chrome on WINDOWS (113303e758709c8cf537c0075b6f5a88)] -> xpath: //option[contains(text(),'Name: A to Z')]]
2020-04-28 16:04:743 INFO  ComputerPage :38 - Clicking on build computer Proxy element for: DefaultElementLocator 'By.linkText: Build your own computer'
